simple_sku,product_name,sale_price,discounted_price,discounted_percentage,currency,Category lv1,Category lv2,Category lv3,picture_url,image_url_2,image_url_3,image_url_4,image_url_5,tracking_link,brand
AC016ELAA55S5GANID-10373597,Acer Aspire E5-475G-526W - RAM 4GB DDR4 - Intel Core i5-6200U - GT940MX-2GB - 14 inch LED - Windows 10 - Putih-Hitam,8999000,7099000,21,IDR,Computers & Laptops,Laptops,Gaming,http://id-live-01.slatic.net/p/2/image-4487668-27bde42851879a17c13094bde278bc63-product.jpg,,,,,http://ho.lazada.co.id/SHEJvt?url=http%3A%2F%2Fwww.lazada.co.id%2Facer-aspire-e5-475g-526w-ram-4gb-ddr4-intel-core-i5-6200u-gt940mx-2gb-14led-windows-10-putih-hitam-8667844.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D%26aff_source%3D%7Bsource%7D&aff_sub=&aff_sub2=&aff_sub3=&aff_sub4=&aff_sub5=&source=,Acer
AC016ELAA59BW1ANID-10584639,Acer Aspire E5 473G 76RT - 14 inch  - Intel Core i7-5500U 2.4GHz - RAM 8GB - VGA GT920 2GB - HDD 1TB - Grey,9500000,8952000,6,IDR,Computers & Laptops,Laptops,Gaming,http://id-live-01.slatic.net/p/2/image-3933388-8e9d87ee4b4217c752fa66c9025a8ed4-product.jpg,http://id-live-01.slatic.net/p/2/image-3933388-5eb1c9a1728aef1056eeab08234c7b7f-product.jpg,http://id-live-01.slatic.net/p/2/image-3933388-a502863a8437df0095df76aca6f66628-product.jpg,http://id-live-01.slatic.net/p/2/image-3933388-508de3dc30b93bf487134db179e94549-product.jpg,http://id-live-01.slatic.net/p/2/image-3933388-6ecd1e4e61547156794e3a139a047587-product.jpg,http://ho.lazada.co.id/SHEJvt?url=http%3A%2F%2Fwww.lazada.co.id%2Facer-aspire-e5-473g-76rt-14-intel-core-i7-5500u-24ghz-ram-8gb-vga-gt920-2gb-hdd-1tb-grey-8833393.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D%26aff_source%3D%7Bsource%7D&aff_sub=&aff_sub2=&aff_sub3=&aff_sub4=&aff_sub5=&source=,Acer
AC016ELAA59CJ6ANID-10585551,Acer 14 Gaming Laptop Core i7-8Gb-1Tb-NVIDIA inch ,9702000,9702000,0,IDR,Computers & Laptops,Laptops,Gaming,http://id-live-01.slatic.net/p/2/image-6224388-52002a67f0e8752499678ebb0d610ba1-product.jpg,,,,,http://ho.lazada.co.id/SHEJvt?url=http%3A%2F%2Fwww.lazada.co.id%2Facer-14-gaming-laptop-core-i7-8gb-1tb-nvidia-8834226.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D%26aff_source%3D%7Bsource%7D&aff_sub=&aff_sub2=&aff_sub3=&aff_sub4=&aff_sub5=&source=,Acer
AC016ELAA59CJ7ANID-10585552,Acer 14 Gaming Laptop Core i7-8Gb-1Tb-NVIDIA-win8 + Gratis Tas Laptop + USB Self Upgrade Windows 10 inch ,10664500,10664500,0,IDR,Computers & Laptops,Laptops,Gaming,http://id-live-01.slatic.net/p/2/image-7224388-30999110c93c014ea67f1ce56fec12b9-product.jpg,,,,,http://ho.lazada.co.id/SHEJvt?url=http%3A%2F%2Fwww.lazada.co.id%2Facer-14-gaming-laptop-core-i7-8gb-1tb-nvidia-win8-gratis-tas-laptop-usb-self-upgrade-windows-10-8834227.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D%26aff_source%3D%7Bsource%7D&aff_sub=&aff_sub2=&aff_sub3=&aff_sub4=&aff_sub5=&source=,Acer
AC016ELAA59CJ8ANID-10585553,Acer 15.6 Gaming Laptop Core i7-4Gb-1Tb-NVIDIA inch ,9042000,9042000,0,IDR,Computers & Laptops,Laptops,Gaming,http://id-live-01.slatic.net/p/2/image-8224388-52002a67f0e8752499678ebb0d610ba1-product.jpg,,,,,http://ho.lazada.co.id/SHEJvt?url=http%3A%2F%2Fwww.lazada.co.id%2Facer-156-gaming-laptop-core-i7-4gb-1tb-nvidia-8834228.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D%26aff_source%3D%7Bsource%7D&aff_sub=&aff_sub2=&aff_sub3=&aff_sub4=&aff_sub5=&source=,Acer
AC016ELAA59CJ9ANID-10585554,Acer 15.6 Gaming Laptop Core i7-4Gb-1Tb-NVIDIA-win8 + Gratis Tas Laptop + USB Self Upgrade Windows 10 inch ,9938500,9938500,0,IDR,Computers & Laptops,Laptops,Gaming,http://id-live-01.slatic.net/p/2/image-9224388-30999110c93c014ea67f1ce56fec12b9-product.jpg,,,,,http://ho.lazada.co.id/SHEJvt?url=http%3A%2F%2Fwww.lazada.co.id%2Facer-156-gaming-laptop-core-i7-4gb-1tb-nvidia-win8-gratis-tas-laptop-usb-self-upgrade-windows-10-8834229.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D%26aff_source%3D%7Bsource%7D&aff_sub=&aff_sub2=&aff_sub3=&aff_sub4=&aff_sub5=&source=,Acer
AC016ELAA59CJAANID-10585555,Acer 14 Gaming Laptop Core i5-4Gb-1Tb-NVIDIA inch ,7337000,7337000,0,IDR,Computers & Laptops,Laptops,Gaming,http://id-live-01.slatic.net/p/2/image-0324388-52002a67f0e8752499678ebb0d610ba1-product.jpg,,,,,http://ho.lazada.co.id/SHEJvt?url=http%3A%2F%2Fwww.lazada.co.id%2Facer-14-gaming-laptop-core-i5-4gb-1tb-nvidia-8834230.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D%26aff_source%3D%7Bsource%7D&aff_sub=&aff_sub2=&aff_sub3=&aff_sub4=&aff_sub5=&source=,Acer
AC016ELAA59CJBANID-10585556,Acer 14 Gaming Laptop Core i5-4Gb-1Tb-NVIDIA-win8 + Gratis Tas Laptop + USB Self Upgrade Windows 10 inch ,8063000,8063000,0,IDR,Computers & Laptops,Laptops,Gaming,http://id-live-01.slatic.net/p/2/image-1324388-30999110c93c014ea67f1ce56fec12b9-product.jpg,,,,,http://ho.lazada.co.id/SHEJvt?url=http%3A%2F%2Fwww.lazada.co.id%2Facer-14-gaming-laptop-core-i5-4gb-1tb-nvidia-win8-gratis-tas-laptop-usb-self-upgrade-windows-10-8834231.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D%26aff_source%3D%7Bsource%7D&aff_sub=&aff_sub2=&aff_sub3=&aff_sub4=&aff_sub5=&source=,Acer
AC016ELAA59CJCANID-10585557,Acer 15.6 Gaming Laptop Core i5-4Gb-0.5Tb-NVIDIA inch ,6330500,6330500,0,IDR,Computers & Laptops,Laptops,Gaming,http://id-live-01.slatic.net/p/2/image-2324388-52002a67f0e8752499678ebb0d610ba1-product.jpg,,,,,http://ho.lazada.co.id/SHEJvt?url=http%3A%2F%2Fwww.lazada.co.id%2Facer-156-gaming-laptop-core-i5-4gb-05tb-nvidia-8834232.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D%26aff_source%3D%7Bsource%7D&aff_sub=&aff_sub2=&aff_sub3=&aff_sub4=&aff_sub5=&source=,Acer
AC016ELAA59CJDANID-10585559,Acer 15.6 Gaming Laptop Core i5-4Gb-0.5Tb-NVIDIA-win8 + Gratis Tas Laptop + USB Self Upgrade Windows 10 inch ,6955850,6955850,0,IDR,Computers & Laptops,Laptops,Gaming,http://id-live-01.slatic.net/p/2/image-3324388-30999110c93c014ea67f1ce56fec12b9-product.jpg,,,,,http://ho.lazada.co.id/SHEJvt?url=http%3A%2F%2Fwww.lazada.co.id%2Facer-156-gaming-laptop-core-i5-4gb-05tb-nvidia-win8-gratis-tas-laptop-usb-self-upgrade-windows-10-8834233.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D%26aff_source%3D%7Bsource%7D&aff_sub=&aff_sub2=&aff_sub3=&aff_sub4=&aff_sub5=&source=,Acer
AC016ELAA5FB64ANID-11039529,Acer E5-553G AMD A12-9700P 8GB 15.6 inch  Grey Linux,7699000,7699000,0,IDR,Computers & Laptops,Laptops,Gaming,http://id-live-01.slatic.net/p/2/image-6932119-17d72df01bb54aea072cae49f4ed8fad-product.jpg,http://id-live-01.slatic.net/p/2/image-6932119-8ffa018657dbd142fa4a772c8bb61d81-product.jpg,http://id-live-01.slatic.net/p/2/image-6932119-f5f10f0449c265c06b5dcf7c9fb6adfd-product.jpg,,,http://ho.lazada.co.id/SHEJvt?url=http%3A%2F%2Fwww.lazada.co.id%2Facer-e5-553g-amd-a12-9700p-8gb-156-grey-linux-9112396.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D%26aff_source%3D%7Bsource%7D&aff_sub=&aff_sub2=&aff_sub3=&aff_sub4=&aff_sub5=&source=,Acer
AC016ELAA5QX3IANID-11809258,Acer Aspire E5-473G ( I7-4510 WIN 10) - Charcoal,9380000,9380000,0,IDR,Computers & Laptops,Laptops,Gaming,http://id-live-01.slatic.net/p/2/image-0304569-bb3451f09b9f148bc38456209a65931c-product.jpg,http://id-live-01.slatic.net/p/2/image-0304569-976526266bd68f735181440f028a5513-product.jpg,http://id-live-01.slatic.net/p/2/image-0304569-2e122c70452a21391ed25a97290cd2e0-product.jpg,http://id-live-01.slatic.net/p/2/image-0304569-2f0814760610e8a021cabfd1669ea02c-product.jpg,,http://ho.lazada.co.id/SHEJvt?url=http%3A%2F%2Fwww.lazada.co.id%2Facer-aspire-e5-473g-i7-4510-win-10-charcoal-9654030.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D%26aff_source%3D%7Bsource%7D&aff_sub=&aff_sub2=&aff_sub3=&aff_sub4=&aff_sub5=&source=,Acer
AC016ELAA5QX3JANID-11809259,Acer Aspire E5-473G (I7-4510 NON OS) - Charcoal,8935000,8935000,0,IDR,Computers & Laptops,Laptops,Gaming,http://id-live-01.slatic.net/p/2/image-1304569-bb3451f09b9f148bc38456209a65931c-product.jpg,http://id-live-01.slatic.net/p/2/image-1304569-976526266bd68f735181440f028a5513-product.jpg,http://id-live-01.slatic.net/p/2/image-1304569-2e122c70452a21391ed25a97290cd2e0-product.jpg,http://id-live-01.slatic.net/p/2/image-1304569-2f0814760610e8a021cabfd1669ea02c-product.jpg,,http://ho.lazada.co.id/SHEJvt?url=http%3A%2F%2Fwww.lazada.co.id%2Facer-aspire-e5-473g-i7-4510-non-os-charcoal-9654031.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D%26aff_source%3D%7Bsource%7D&aff_sub=&aff_sub2=&aff_sub3=&aff_sub4=&aff_sub5=&source=,Acer
AC016ELAA5YBTAANID-12535504,Acer E5 473G 76RT - Core I7-5500U - RAM 8GB - HDD 1TB - 14 inch  - Linux- Abu,9470000,8951000,5,IDR,Computers & Laptops,Laptops,Gaming,http://id-live-01.slatic.net/p/2/image-4969999-41fbad3feb1ece2f9d2c90990490edc7-product.jpg,http://id-live-01.slatic.net/p/2/image-4969999-c1771615a0fd420d9db9039bd8149782-product.jpg,http://id-live-01.slatic.net/p/2/image-4969999-4ae60947e5d6706460862a091f0a04ce-product.jpg,http://id-live-01.slatic.net/p/2/image-4969999-ca8513d1c96d030074c552264561030a-product.jpg,,http://ho.lazada.co.id/SHEJvt?url=http%3A%2F%2Fwww.lazada.co.id%2Facer-e5-473g-76rt-core-i7-5500u-ram-8gb-hdd-1tb-14-linux-abu-9999694.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D%26aff_source%3D%7Bsource%7D&aff_sub=&aff_sub2=&aff_sub3=&aff_sub4=&aff_sub5=&source=,Acer
AC016ELAA5YUDEANID-12674520,Acer Aspire E5-475G - i5 6200U - 16GB DDR4 - GT940MX 2GB DDR5 - 256GB SSD - 1TB HDD - DOS,10000000,9499000,5,IDR,Computers & Laptops,Laptops,Gaming,http://id-live-01.slatic.net/p/2/image-64732001-67828838fbf6c49016eac8e24fadd97c-product.jpg,http://id-live-01.slatic.net/p/2/image-64732001-feae4e40ec022b7cf56c38ce734177ed-product.jpg,,,,http://ho.lazada.co.id/SHEJvt?url=http%3A%2F%2Fwww.lazada.co.id%2Facer-aspire-e5-475g-i5-6200u-16gb-ddr4-gt940mx-2gb-ddr5-256gb-ssd-1tb-hdd-dos-10023746.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D%26aff_source%3D%7Bsource%7D&aff_sub=&aff_sub2=&aff_sub3=&aff_sub4=&aff_sub5=&source=,Acer
AC016ELAA60CASANID-13090867,Acer E5-475G - Intel Core I7-7500U - 4GB RAM - 14 inch  - Grey - Linux,9800000,9800000,0,IDR,Computers & Laptops,Laptops,Gaming,http://id-live-01.slatic.net/p/2/image-63639001-d4091d20c1cc725318977f30d9236f49-product.jpg,http://id-live-01.slatic.net/p/2/image-63639001-f36c200a9b83b63cf463a90e9793d390-product.jpg,http://id-live-01.slatic.net/p/2/image-63639001-46baf4020f701ca34b5fc575c6f4e4f0-product.jpg,,,http://ho.lazada.co.id/SHEJvt?url=http%3A%2F%2Fwww.lazada.co.id%2Facer-e5-475g-intel-core-i7-7500u-4gb-ram-14-grey-linux-10093636.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D%26aff_source%3D%7Bsource%7D&aff_sub=&aff_sub2=&aff_sub3=&aff_sub4=&aff_sub5=&source=,Acer
